學校名稱,計畫名稱,計畫場域,計畫經費 (TWD),SROI 指標與成效,執行重點與特色,資料來源
華梵大學,石碇之音-百年石頭屋藝術造鎮參與規劃工作站、工藝駐村與行旅藝文體驗計畫,新北市石碇區石碇東西街（百年石頭屋-漫縵山房）,"2,750,000",資料未提供具體 SROI 數值。成效指標包含：修繕完成百年石頭屋並正式開放、舉辦 25 場藝文沙龍與講座活動、培訓斲琴愛好者 40 人、產出 10 張古琴、培訓 8 位古琴彈奏青年師資、開設 7 門相關課程。,利用石碇特殊山城景觀進行藝術造鎮。核心特色：修復百年石頭屋作為藝文交流平台、推動工藝駐村（斲琴與古琴彈奏）、結合新六藝（琴、茶等）與在地茶產業、透過空間活化凝聚居民都更共識、開發創意小遊戲並與政府「微笑山線」連結。,147
逢甲大學,中寮行動-倡議偏鄉群落生境的社會影響力,南投縣中寮鄉：有限責任南投縣蔬果生產合作社、廣福國民小學,"2,750,000",採用 SRS (社會影響力報告書) 之 IOOI 方法評估。成果包含：導入 3 門課程影響 50 名學生、辦理 3 場主題營隊、超過 500 人次偏鄉學生參與、輔導廣福國小教師考取攀樹證照並建置基地、完成「跟著石虎去旅行」永續小旅行動線、協助推廣石虎友善品牌銷售額提升。,建構中寮 Biotope (群落生境) 教育基地。核心特色：生產面協力合作社負責任生產（石虎友善耕作）、生活面引入攀樹與音樂藝術教育（高風險家庭關懷）、生態面建立永續小旅行、行銷面透過學生創意（果乾直男）與數位平台媒合資源。,148
修平科技大學,文蛤智慧養殖與科學管理永續發展計畫,固定實踐場域：雲林縣口湖鄉（口湖養殖示範場 I & III）、彰化縣伸港鄉（伸港養殖示範場 II）、嘉義縣東石鄉（東石養殖示範場 IV）；2024年新增：彰化縣芳苑鄉漢寶村（示範場 V & VI）,"3,052,500 元 (補助款 2,750,000 + 學校配合款 302,500)",獲得 2024 台灣永續行動獎金獎及第八屆台北金鵰微電影展銀獎；113年開設12門課程，參與老師12位，修課學生累計310位，計畫相關活動參與學生累計423位，場域夥伴55位。,以文蛤養殖產業科技導入、人才培育與AI智慧系統建置為三大主軸。特色包含微氣泡增氧系統、藻水檢測系統開發，以及協助水產品產銷履歷登打與溯源申請人才培育。,149
國立臺灣師範大學,全球在地取向的金門地方創生與青創培力計畫,固定實踐場域：金門縣金城鎮水頭聚落。延伸場域包括古寧頭、瓊林、蔡厝、烈嶼西方聚落以及金門歷史民俗博物館。,"2,750,000 元 (補助款 2,500,000 + 學校配合款 250,000)","辦理10場線上學堂參與人數達2,960人次；實習學生協助436件文物建檔；行動博物館特展觀展已逾500人次；輔導2間地方業者（夏雨聲咖啡、古寧歇心苑）。",核心為風土經濟與地方創生、文化治理、僑鄉網絡再連結。特色包含推動「旅行的金門學」、海外文物返鄉計畫（星洲許允之、薛永麥作品）及跨國線上學堂。,150
文藻外語大學,OUR TOWN 社區永續跨域共創平台計畫,高雄市左營區（舊城與蓮池潭周邊觀光地區）。合作對象包含舊城文化協會、左營高中、大義國中及舊城商圈商家。,"2,750,000 元 (補助款 2,500,000 + 學校配合款 250,000)","113年度共640人次學生參與，產出51件優異作品；5個共創社群舉辦46場研習，參與人數達1,098人次；產學合作累計金額達2,143,975元。",建立外語跨域新媒體微學分學程，成立社區故事、文化體驗、文史創新、商圈行銷及外語導覽五大共創社群。特色為利用AI技術製作影像並以雙語行銷在地文化。,151
致理科技大學,青銀微社群就醫陪伴社區共好計畫,固定場域：致理科技大學旗艦銀髮社區關懷據點。其他場域：新北市板橋區幸福里、香社里等13處服務推廣據點。,"2,800,000 元 (補助款 2,500,000 + 學校配合款 300,000)",累積銀髮就醫陪伴756案，獨居老人就醫陪伴188案，受陪伴長者滿意度達4.98分。失能延緩運動服務達346人次；學生獲「致青春創未來」等4項全國大賽獎項。,以旗艦關懷據點、就醫陪伴、動健康樂活、青銀微社群為四大模組。特色為落實「青銀共融」、優化獨居長者醫病陪伴流程，並與新北聯醫、亞東醫院緊密合作。,152
元智大學,艾妲資訊培力,固定場域：華勛國小、自立國小、大成國小、大埔國小、大湖國小、南門國小、高原國小、大潭國小、草漯國小、東明國小、大園國中、平鎮國中、八德社區大學、中壢社區大學；其他場域：永豐高中、台灣建青高齡福祉協會社區據點。,"2,750,000","資料來源中未標註具體 SROI 比率，但量化成效包括：培訓大學生 31 位、營隊學童 561 人次、中小學教師 576 人次、社區大學參與 786 人次；總觀看 21 部手機教學影片人次達 20,910 次。",包含四大子計畫：艾妲少年資訊提升（IT團隊舉辦營隊）、艾妲教師資訊育成（科技增能課程）、艾妲世代資訊共學（社區數位課程）、艾妲資訊跨域連結（協助學校教務數位化與網站資安）。特色為縮減數位落差、培育女力營隊及與雲端企業合作。,153
國立臺北科技大學,木創文化攪動深根計畫(Ⅱ),固定場域：國立臺北科技大學（臺北市大安區）、豐園北科大木創中心（臺中市豐原區）；其他場域：豐原及神岡木工產業鏈、5所合作國小、日本有限會社丸生木工所。,"3,025,000",資料來源中未提供 SROI 比率，但量化成效包含：產出 6 款木創產品與教案、技轉 3 案、批量生產 1800 件入市、成果展/展覽參與 3003 人次、國小全人木育課程參與 724 人。,以「木創深根，豐木薪生」為品牌，實施一年樹穀（多型態造床育苗）、十年樹木（跨界串聯與開發市場）、百年樹人（文化攪動人才培育）三大主軸。特色包含組子細工技法傳承、全人木育材料包優化及 USR X CSR X SE 協作系統。,154
朝陽科技大學,北溝復麗—文化、生態共融村,固定場域：台中市霧峰區桐林里（社區發展協會、桐林國小、青桐林種苗園、吉峰社區中心）；其他場域：吉峰里(花東新村)、桐林(蜜克羅莊園)。,"2,750,000",資料來源中未標註 SROI 比率，但成效包含：建置高齡健康管理資料庫 140 位、舉辦 192 場活動、修課學生 1857 人、長者健康促進參與約 1000 人次、生態旅遊導覽 827 人次。,以台中霧峰北溝地區為核心，執行五大面向：創齡樂活世代共融、食農廚技桐星協力、守護咕咕生態趣遊、文史保存風雲再現、科技補助播客培力。特色包含北溝故宮遺址活化、跨代廚藝競賽、Podcast 頻道「阿罩霧會客室」。,155
中國醫藥大學,中藥養生-西藥精準:食品藥物安全鏈結之社會實踐,臺中市(西屯區、北屯區、中區、北區、南屯區、東勢山城)、雲林縣(北港鎮)、彰化縣(大城鄉台西社區)、彰化縣修德國小、小琉球、金門、線上食藥安資訊網 (foodrxcmu.net),"2,750,000","本年度 SROI 計算值為 1:3.51。對「學生」影響力占總價值約 7 成。食藥安全社會實踐人才培訓與師生合作累積影響 767 人次，顯著提升學生衛教教案設計及影片製作能力 (占總價值 62%)。線上食藥安資訊網點閱人數 42,317 次 (占總價值 12%)。",以食品安全/營養、用藥安全與精準、中醫藥保健養生為核心。推動食藥安全人才培訓、健康促進與中醫藥養生賦能、在地關懷與精準用藥。特色包含全國唯一師生建置的「食藥安資訊網」、跨領域教師社群合作，及應用永續發展目標鏈結國際藥學學習網絡營。,156
國立成功大學,惡地協作2.0：H.E.A.R.T.串起共學、共做、共感的淺山心生活,臺南市 (左鎮區、龍崎區、關廟區、新化區)、高雄市 (內門區、田寮區、旗山區),"7,480,000",質量化評估達標：「共學」擴大校內教師 15 人、校外 52 人及 44 個單位；「共做」發展 4 個跨域課程實作方案與 4 個跨社區協作方案；「共感」參與評估夥伴擴大至 9 人，數位平台瀏覽次數提升 50%。竹產業紀錄片獲永續微電影銀獎。,以「新體驗、新產業、新資訊」三大社群協作，推動西南惡地淺山區域永續發展。包含文史勘考、生態韌性、創新竹構應用。特色成果包含「移動圖書館」知識素養循環、 gather town 左鎮元宇宙、及惡地莿竹林 Podcast (15 集，點閱 1409 次)。,157
國立暨南國際大學,暨大「相遇東南亞」的啟示：共耘RAMTAU香料共和園,南投縣 (信義鄉雙龍部落/東埔部落/久美部落、清境社區、仁愛鄉三大農場、魚池鄉大雁村、南投市南崗夜市、水里夜市、埔里假日城夜市、草屯夜市)、臺中市東協廣場,"2,750,000","本期活動參與人次達 1,779 人次；正式與潛在課程修課學生 2,415 人次。完成以受壓迫者為中心的場域利害關係人圖 5 份。辦理保羅議題解剖圓桌 21 場、異｜裔深夜廚房 10 場。教育向下紮根共計 231 位教師參與。",建基南方知識論之批判思考教育，回應受壓迫群體之「尊嚴與正義」。特色包含「保羅電影院」、「保羅議題解剖台」等潛在課程。特色活動「異｜裔深夜廚房」以料理為媒介推動多元文化理解。與台中一中及暨大附中簽署 MOU 推動 108 課綱意識翻轉。,158
實踐大學,點亮城市裡的偏鄉─光點三創實踐計畫,新北市石碇區 (十八重溪 50 號螢火蟲光點聚落、螢火蟲書屋、三才靈芝農場、和平國小、石碇老街),"2,750,000",學生創意問題解決能力顯著提升。社創成果：研發「食碇黑金歲月饗宴」套餐。農創成果：建置菇事館展牆、設計「It's a 菇 day」食農教育教案 (後測正確率 95% 以上)。旅創成果：民宿客房改造及數位語音導覽 (滿意度達 83%)。,以農創/旅創/社創為服務主軸。轉譯文山煤礦與百年淡蘭文化。特色包含開發創新靈芝餐飲與保健品 (靈芝益生菌)、民宿溫馨化改造、向下紮根陪伴山區學童，以及石碇意象文宣品行銷。跨校跨域整合餐飲、家兒、食保與北醫生化系。,159
德明財經科技大學,德明甘丹內科園區永續時尚實踐計畫,臺北市內湖科學園區、德明甘丹永續布料實體平台、紡拓會設計打樣中心、新北市、桃園市,"3,025,000","減少約 500,000 公斤 CO2e 排放 (約 100 萬度電力)。提供超過 20,000 碼布料予高中職、大學及公益團體，服務超過 350 次。獲「環境管理領袖獎」及亞太永續博覽會最佳攤位設計佳作。產學合作經費挹注達 116 萬元 (製衣公會與摩根大通)。",解決紡織企業庫存布料痛點，建置「永續布料實體平台」。提供免費布料給教育單位、公益團體及新銳設計師。特色包含與英國 Burberry 簽訂捐贈續約、成立台灣首個「台灣綠色紡織品聚落 (TG2)」、推行單一材質服飾回收再利用。推動 12 場永續時尚活動影響超過 1500 人次。,160
大仁科技大學,小琉球幸福島 環境 x 健康 x 文化,屏東縣琉球鄉全區域,"2,750,000",資料未提及 SROI 社會投資報酬率之具體量化比值，但已建立包含人才培育、在地需求與場域永續之系統化評估機制。,融合海洋保育教育、高齡者健康衛教及迎王廟宇文化傳承。核心特色包含潮間帶生態調查、開發海洋生物教具、長者懷舊治療與用藥指導，以及透過大手牽小手與白沙國小進行文化共學。,161
長庚大學,『職能、共融、永續』-身心障礙者工作培力實踐計畫,桃園市桃園區（秧風工作坊、康新康復之家）、新北市林口區（自閉症權益促進會、林口長庚紀念醫院）,"3,050,000",資料未提及 SROI 具體比值，但成效包含身心障礙學員工作訓練滿意度高於 70%，並透過分析參加訓練前後之獎勵金變化評估產值成效。,結合醫、工、管三院能量，推動身心障礙者工作培力。特色包含建立類職場工作環境（庇護攤車）、電商平台商模建置、活動引導機器人開發，以及開設通識課程引導學生與障礙者互動。,162
國立屏東科技大學,點亮馬卡道健康農產業振興與優化,屏東縣內埔鄉老埤社區發展協會及老埤馬卡道文化協會、泰安國小、榮華國小,"2,750,000",資料中未提及 SROI 具體比率，但提及透過問卷得知聘任獎助生在人格素養與關懷他人思維提升上有極顯著效益；社區、泰安及榮華國小師生問卷滿意度均為滿意或非常滿意。,以農地利用為核心，推動馬卡道銀髮樂活農場、跨域博雅人才培育、商品開發（雞油辣椒醬、紅藜信封捲等）。開設九門 USR 實踐學分學程，並將雞舍建置技術複製至榮華國小實施食農教育。,163
國立虎尾科技大學,「花」現虎尾，永續共融,雲林縣虎尾鎮公所、虎尾鎮農會；南投縣集集鎮特有生物研究保育中心,"2,750,000",資料中未提及具體 SROI 貨幣化比率，但提到 22 位師生取得國際證照（ISO14001等），培養 14 位智慧環控人才，且社區與學生問卷對碳議題理解度明顯提升。,聚焦 SDG12、13、15。輔導花卉業者進行碳盤查（武村農場、京品園藝），研發「永續擇學家」桌遊推廣綠色教育，並在高鐵校區打造生態復育區發現紫斑蝶蹤跡。,164
臺北醫學大學,永續綠能飲食救地球,新竹縣尖石鄉（三一自然生態農園等）、臺北市信義國小、南港國小、信義區石頭湯,"2,750,000","SROI 比率約 1.61。截至 2024 年底投入 250 萬元，創造約 402 萬 3,877 元之社會價值。每投入 1 元創造 1.61 元社會價值。",分為三子計畫：1.部落農產品加工與食安篩檢；2.國小永續飲食教育向下扎根；3.高齡者質地調整飲食設計與國際交流。開發低碳創意料理並技轉給部落餐廳。,165
長榮大學,相約檨仔腳-走向整全的社區經濟與照顧之路 2.0,高雄市六龜區（高雄市六龜關懷協會、檨仔腳文化共享空間、池田屋）,"2,750,000","SROI 比率為 4.45。在 2023.1.1~2024.8.31 期間，投入約 107 萬元，產生 475 萬 6,440 元社會價值，意即每投入 1 元產生 4.45 元社會價值。",延續六龜災後重建陪伴，推動「六龜好集市」與青農品牌優化。研發六龜主題桌遊（再建六龜等）並遠赴德國參展。以池田屋為公民會館建構六龜地方學。,"166, 167"
台北海洋科技大學,銀造在地健康關懷青銀樂活俱樂部-共創共學、友善高齡、健康福祉實踐推動計畫,臺北市大同區市立聯合醫院、新北市淡水區台北海洋科技大學、臺北市士林區台北海洋科技大學、淡水區沙崙里、新興里、崁頂里、大庄里、正德里社區據點、台北奇岩長青綜合式長照機構、聖文生之友會、士林靈糧堂、富麗河社區,"2,750,000",利害關係人總體滿意度88.4%；據點服務長者達1920人次；課程培訓共計2194人次；培育衛福部指導員15名、協助員60名及志工80名；數位科技健康評估服務165人次。,設置「戒莫青交-青銀樂活俱樂部教學示範點」，推動四大課程模組（戒莫共活、共樂、共餐、共情）；培訓師生取得衛福部延緩失能指導員證照；結合體適能福祉科技進行數位健康檢測；促進跨世代青銀共學共融，並與80家產業簽訂策略聯盟。,168
慈濟大學,里山團結碳經濟-永續消費與生產的共學實踐,花蓮縣秀林鄉（原新農業生產合作社、部落交流協會、景美村辦公室）、花蓮市（食在永續消費合作社、花蓮縣政府）、花蓮縣光復鄉公所、花蓮縣壽豐鄉（米田共好永續農業生產合作社）、臺北市中正區（綠色消費者基金會）、臺北市中山區（天地和氣有限公司）,"7,150,000",成功協助兩個小農團隊復耕；建置防災型緊急倉儲機制；推動PGS共保系統認證；對應SDG12、SDG8及SDG2指標。,以團結經濟、里山加值、PGS與農業碳權為核心。推動兩校合作社整合與慈善農業；建構佳民部落淨零碳排食農教育；示範土壤種碳與碳權認證（AMS-III.AU）；開設永續管理微學程。,169
中華醫事科技大學,臺南溪北淺山銀髮健康基地深耕永續計畫,臺南市白河區（將軍山農場、草店社區）、東山區（聖賢社區）、玉井區（蜜旺果鋪）、楠西區（密枝社區、梅嶺）、南化區（小歇冰舖、東和社區）、六甲區（林鳳社區）、龍崎區（龍崎永續發展協會）、山上區（玉峯社區）,"核定總金額 8,800,000 (含補助款 8,000,000 與配合款 800,000)",以訪談、問卷與 OKR 為成效評估機制；2024年《遠見》USR在地共融組首獎、TSAA台灣永續行動獎金獎、APSAA亞太永續行動獎銀獎；實踐人數達 3500人次以上。,以預防篩檢與體適能建立長者健康管控；開發質地飲食菜餚；培育社區人才取得體適能、餐飲與園藝認證；深化跨國產學合作赴日見學；推動淺山登上國際舞台（如note日本旅遊網站與國際雜誌）。,170
南開科技大學,建置在地優質老化永續長照服務網—打造南投不老城鎮,南投縣草屯鎮（私立尚讚居家長照機構）、南投市（私立勵昱居家長照機構）、名間鄉（私立上安心居家長照機構）,"核定總金額 6,600,000 (含補助款 6,000,000 與配合款 600,000)",採 OKR 目標關鍵成果評估；第四期計畫將以 SROI 分析；輔導尚讚照顧服務勞動合作社榮獲全國評鑑優等；長照系畢業生 80% 投入長照領域就業。,培育長照人才、實現在地優質老化、協同銀髮產業發展。推廣自立支援照顧模式（如紅繩教練、音樂體適能）；建立南投照顧產業聯盟；銀髮族輔具推廣與維修人才培訓。,171
國立政治大學,雜貨店2.0老店新開：順路經濟與社會資源整合平台計畫,新北市烏來區（大桶山泰雅藝術館）、桃園市復興區（飛鼠不渴休閒露營農場）、桃園市中壢區（龍岡清真寺周邊穆斯林聚落）、基隆市中正區（基隆清真寺周邊穆斯林聚落）,"核定總金額 3,025,000 (含補助款 2,750,000 與配合款 275,000)",由社會責任辦公室提出問題進行分析，包含深化學生在地關懷素養及行動參與能力指標；資科系學生研發「順路經濟購物平台」獲國科會補助；培育部落青年擔任雜貨店店長。,打造風巢：將雜貨店轉型為社創營運中心與駐風站。順路經濟：利用 IT 工具建立村人互助運補機制。社會資源整合平台：整合政府補助 SOP 手冊（原教與移工權利），協助新住民與原民申請資源。,172
黎明技術學院,共鳴－攜手臺北啟聰學校建構聽障共融環境計畫,臺北市大同區（臺北市立啟聰學校）,"核定總金額 2,750,000 (含補助款 2,500,000 與配合款 250,000)",採網路滿意度問卷調查（整體滿意度 88%）與校務研究中心管考；協助啟聰學校獲得 2024 年國際宜居社區競賽銅獎；學生作品於創意市集販售成功。,建構北聰「學習實驗手創基地」；開設聽障關懷與跨域專題課程；引導聽障學生學習雷切、皮藝等創作技能並將作品商品化；建置校內志工服務「永續傳統」。,173
中國文化大學,北海岸社區韌性：在地永續知識與經濟創生,固定實踐場域：新北市金山區、萬里區與三芝區,"3,500,000",本校將進一步引入社會投資回報分析 (SROI) 認證原則，並支持計畫專任人員取得 SROI 初階規劃師證照；目前成效指標包含獲國際永續教育協會 2024 教育影響力獎、執行期間超百場行動、媒體報導 40 條。,建置與北海岸連結及永續運作系統，推動「三芝學」跨域課程。2. 回應場域需求：共創教材（軟絲復育桌遊、繪本）、提供公益法律服務、以循環建材重造金山高中文史教室及萬里國中校史室。3. 成立 USR 七校聯盟及國際見學交流。,174
國立臺北科技大學,漁村真本事－萬里野柳海岸地景保育與漁村文化永續,固定實踐場域：新北市萬里區野柳地質公園、野柳國小、野柳特產街、野柳保安宮、民權社區發展協會,"3,025,000 (含教育部補助款 2,750,000 及校配合款 275,000)",尚未在源文件中列出具體 SROI 數值，但量化成效包括：三座奇岩循環補強 24 次，使抗風化能力提升約 10 倍；完成 8 件漁村文物 3D 建模；辦理 44 場場域實踐活動，參與人次達 612 人次。,三大主軸：1. 轉化海廢浮石為節能建材與農業改良劑。2. 放送漁村本事：優化漁村漫遊行程、更新野柳國小海洋文化體驗館。3. 海岸地景復活術：利用「仿自然成因砂岩強化技術」為蕈狀岩（如女王頭）保固延壽並建立 3D 模型資料庫。,175
國立臺灣科技大學,活力創齡-共創共學習,固定實踐場域：臺北市大安區和平 183 樂活關懷站、新北市新莊區新北雙連樂齡健康活力中心；其他包含松年基金會據點及澎湖社區,"3,025,000 (含教育部補助款 2,750,000 及校配合款 275,000)",尚未在源文件中列出具體 SROI 數值，但量化成效包含：高齡參與者 502 人、學生參與 174 人、創意老化課程 18 場、血管健康量測 3 場；質化成效包含長者健康意識提升及促進世代交流。,創意老化：開發「桌上四季」教材包與點點畫課程，促進長者自信。2. 跨齡共創：透過醫療器材課程讓學生進入據點，為長者進行血管與心智健康評估。3. 智慧精進：開發穿戴式測量系統與桌遊，並推廣至偏鄉離島（澎湖）。,176
臺北市立大學,「你我共好」的善循環－社區永續的倡導、關懷與場域經營,固定實踐場域：新北市永和區民權社區發展協會（涵蓋民族、民權、民治、智光里）,"3,056,000 (含教育部補助款 2,750,000 及校配合款 306,000)","規劃引入 SROI 評估模式；量化成效包含社區實踐活動參與達 2,610 人次、社群媒體單篇觸及達 1,912 人；質化成效包含建立「社會處方箋」模式，改善失智與弱勢族群心理健康。",心理藝術療癒：推動「社會處方箋」學分學程，透過藝術治療關懷孤獨老人及弱勢家庭。2. 感性社區經營：優化社區商品「一口酥」包裝與行銷，建立志工故事集與宣傳影片。3. 創業培力：利用數位工具與新興科技（VR）提升長者資訊素養，創造非典型就業機會。,177
逢甲大學,安居樂業-打造永續韌性部落的教育示範場域,固定實踐場域：南投仁愛鄉眉溪部落、台中和平區達觀部落、嘉義阿里山鄉山美部落、屏東來義鄉古樓部落,"2,750,000 (含教育部補助款 2,500,000 及校配合款 250,000)","採用社會影響力報告標準 (SRS) 進行評估；量化成效包含修課學生 711 位、參與社區實踐活動約 1,200 位、產出 11 份部落教案與 3 套資訊系統；質化成效包含提升部落韌性與建立循環經濟模式。",淨零能源：在眉溪部落建置離網再生能源（沼氣發電）示範基地。2. 合作組織：協助部落籌組「多元照顧勞動合作社」。3. 智慧科技：開發韌性社區專用 APP（包含健康、交通、行銷功能）。4. 韌性行銷：透過影像敘事與 CDIO 模式推廣部落農產品與文化徑。,178
元智大學,寰宇文化領航,桃園市龜山區大埔國民小學、新屋區東明國民小學、八德區大成國民小學、觀音區草漯國民小學、龜山區大湖國民小學、中壢區自立國民小學、龍潭區高原國民小學、觀音區大潭國民小學、中壢區華勛國民小學、桃園區南門國民小學、大園區大園國民中學、大園區埔心國民小學、大園區大園國民小學、平鎮區平鎮國民中學、平鎮區文化國民小學、桃園區快樂國民小學、三峽罕病童護理孤兒院,"7,480,000",數位伴學透過 SPSS 成對樣本 t 檢定，證實小學伴英語成績平均進步 11.8 分（顯著係數 0.032）；主要子計畫滿意度均達 90% 以上。,包含寰宇領航培訓、文化巡航、精英師培、數位伴學與藝術城堡五大子計畫；特色為活用外籍生語言優勢進行多元文化教育，並首創「寰宇英悅展齡」教導長輩英語，獲遠見 USR 楷模獎及 TSAA 銀獎。,179
國立東華大學,智慧淨洄瀾合作永共融,花蓮縣鳳林鎮北林國民小學、慢城驛站 (鳳林鎮觀光旅遊發展協會)、萬榮鄉西林國民小學、吉安鄉初英山文化產業交流協會、鳳林西瓜田、伊佐牛牧場,"7,150,000",113 年五案 SROI 平均值為 3.41。各案具體為：合作社 0.75、VIP 課程 1.95、洄游農村 1.81、共學堂 3.41、小農市集 0.89、公益霜淇淋 1.28、玩具物流中心 1.54。,以「無邊境永續生活合作社」為載體，推動科普遊學、科技農牧（西瓜電子圍籬、牛隻定位）及智慧社區；成立花蓮首座玩具物流中心及東部首家綠電學習合作社。,180
大同大學,永續共榮在大同：優質教育與跨域實踐之差異群體服務基地加值計畫,臺北市立啟明學校、臺北市立啟聰學校、臺北市立臺北特殊教育學校、財團法人伊甸社會福利基金會、大同區健康服務中心,"8,341,304 (含 112 年滾存)",各項活動及講座整體參與成效平均介於 4.3 至 5.0 分之間；成功開發三項適應運動輔具及高齡復健遊戲。,以「差異共融」與「適應體育」為核心，為視障、聽障、多障生開發輔具（如巧固球、聲光互動彈珠台）；推動樂齡學程與 PSBH 國際問題解決松；跨域整合設計與工程學院實作量能。,181
輔仁大學,輔仁好學·好（ㄏㄠˋ）學新莊計畫,新莊區成德里、民全里、民安里、光明里、泰山區美華新村、瓊林社區、塭仔圳重劃區、新莊及泰山區各國民小學,"2,750,000",所有課程之學習動機、公民素養、個人價值與滿意度平均數均高於 4 分；國泰國小雙語教學滿意度達 94.1%。,三大主軸：公民好學、環境好學、藝文好學；推動大新莊生活環境博物園區（Eco Museum）構想，參與塭仔圳水圳修復與舊社區環境再造；開發地方特色桌遊、Podcast 與文創產品。,182
龍華科技大學,自閉症特教生適應性科技與食農教育-龍潭肯納社福莊園,桃園市龍潭區龍潭肯納社福莊園、桃園特教學校、鷺江國中,"2,750,000",VR/AR 適應性運動體驗參與超過 200 人次；開發 10 款特色茶飲，超過 500 人次體驗；問卷顯示 90% 以上參與者認同計畫對場域及星兒具正面影響。,運用 VR/AR 虛擬實境技術協助自閉症星兒進行職能復健與生活訓練；結合食農教育開發無咖啡因紓壓茶包；推動零廢棄牛仔布文青包及與鶯歌新旺集瓷鏈結提供就業機會。,183
中國醫藥大學,中西醫整合優質照護，守護兒童與青少年健康計劃,瑪利亞基金會瑪利亞學園、臺中市北屯國小、農村故事館 (七喜廚房)、財團法人天主教會臺中教區互愛物資銀行、中國醫藥大學附設醫院,"2,750,000",SROI 初評結果為 1:2.36。社區大眾衛教推廣價值佔 64.97%，觸及 23664 人次；兒少健康教育價值佔 35.01%，影響 8601 人次。,以中西醫整合照護解決臺中市兒少健康議題。特色包含：開發 22 部中醫有聲書與衛教影片（點閱破 1.8 萬次）、辦理自立兒少健康增能夏令營、北屯國小體重控制挑戰及 46 場社區活動。,184
嘉南藥理大學,西港風_敘事雲,臺南市西港區（港東里、西港里、慶安里、永樂里）,"2,750,000",未於來源中提及具體 SROI 數值指標,以西港傳統文化為主軸，運用新媒體行銷並將教育鏈結在地產業，應對社區老化與青年人口銳減問題。,185
樹德科技大學,青銀共創 活躍老化-社區照顧人才的培育與實作,高雄市大社區老人文康活動中心、大社區觀音社區關懷據點,"2,750,000",整體 SROI 數值約為 1.53。分項指標：教師 1.938、學生 1.23、高齡者 1.35、社區組織 2.73。,建構青銀共創實驗基地。特色亮點包含：三千歲歌舞團組成青銀街舞團隊榮獲金牌、辦理「老幼多元生活照顧 Care 創意競賽」、開設 7 門 USR 專業課程與馬來西亞國際交流。,186
高雄醫學大學,空污下的大學社會責任-環境教育與健康促進永續發展計畫,高雄市小港區、林園區、前鎮區、大寮區（含太平國小、鳳林國小、林園夜市等）,"8,250,000",未於來源中提及具體總體 SROI 數值（附錄顯示部分問卷分析成效滿意度高）,推動空污下健康照護與環境教育。核心特色包括：設立全國唯一「智慧肺健康門診」、推廣改良式油煙吸收桶、與越南院校國際合作人才培訓、開發「植物的神奇魔法」繪本及桌遊。,187
嘉南藥理大學,二仁溪流域 後現代城鎮漣漪翻轉策略： 逆勢啟動南方聚落軸線復興力量,固定實踐場域：臺南市南區（車仔寮關懷協會、松安社區發展協會、臺南市立醫院社區服務課、灣裡黃金商圈、灣裡保安宮、臺南市解說員發展協會、灣裡萬年文史推廣學會、南寧高級中學、省躬國民小學、國宅社區發展協會）、高雄市茄萣區（舢筏協會、立茄萣國民中學）,"2,750,000",智慧商圈行銷子計畫之 SROI 比率為 1.25,以「漣漪擴散、軸線翻轉」為核心，推動高齡健康樂活、智慧商圈行銷、地方創生再造、在地環境教育與低碳永續家園五項子計畫。特色包含與臺糖簽署 MOU 打造循環經濟，以及開發銀髮健身與數位行銷教材。,188
國立清華大學,〝S+M+ART〞跨學科與創客藝術在地智慧活氧計畫,固定實踐場域：新竹縣橫山鄉（老大份休閒農場、大山北月、上山喝咖啡/出企玩商行、沙坑國民小學）、新竹縣新豐鄉（小叮噹科學股份有限公司）,"2,750,000",未提供量化 SROI 數值。質化成效包含場域負責人表示振奮、受服務小學生對生態旅讀滿意度高，並產出多篇 USR 相關論文。,運用 STEAM 跨學科與創客實踐改善偏鄉教育。核心特色為「銀青幼-共創共學」平台，包含沙坑國小創客學堂、大山背柑橘藝術季、老大份生態旅讀步道，並結合企業 CSR 擴大服務效益。,189
國立臺北大學,環抱海山深耕三峽：北大文化城的創生、活化與擴展,固定實踐場域：新北市三峽區（北大特區及其周邊地區）、新北市樹林區（樹林老街及其周邊地區）,"3,025,000","計畫成果將送外部公證機構以 SROI 進行評估（目前尚未揭露具體數值）。量化成效包括短影音觸及率達 70K，推廣活動參與達 8,000 人次。",建立「四金一陶」（茶、礦、藍染、紅麴、陶瓷）產業架構。特色包含三峽綠茶季、大三鶯走路節、數位 GIS 走讀地圖及紀錄片製作，並促成李梅樹紀念館遷入校園。,190
國立臺東大學,臺東 Y-2計畫：共創山海沙城好未來,固定實踐場域：臺東縣延平鄉（武陵、永康）、金峰鄉（嘉蘭、新興）、卑南鄉（杉原、加路蘭）、臺東市區,"17,250,000","2024年計畫利害關係人調查進行中。量化指標達成率 99%，包含完成 60 部數位實境作品、502 人次取得專業證照，並創造具體產值 2,546,747 元。",實踐責任觀光與「共好」複合式旅遊。特色包含跨領域課程模組、阿美陶復振、大地餐桌設計、水域運動人才培育，並與立榮航空合作行銷部落行程。,191
